epoch,accuracy,loss,val_accuracy,val_loss
0,0.2421875,2.093651056289673,0.2421875,1.962099313735962
1,0.42578125,1.4322571754455566,0.4453125,1.62147855758667
2,0.63671875,1.0115888118743896,0.421875,1.729020357131958
3,0.80078125,0.5649601817131042,0.421875,1.498882532119751
4,0.900390625,0.3241409361362457,0.4140625,1.6604650020599365
5,0.927734375,0.2044699490070343,0.515625,1.6440439224243164
6,0.951171875,0.16899873316287994,0.5,1.5255757570266724
7,0.974609375,0.09481742978096008,0.5078125,1.9179258346557617
8,0.955078125,0.12877315282821655,0.4765625,2.122671127319336
9,0.982421875,0.08715608716011047,0.4921875,2.051339864730835
10,0.9765625,0.05919548124074936,0.515625,2.084505081176758
11,0.9765625,0.08890251815319061,0.5625,2.019524574279785
12,0.9765625,0.075757697224617,0.5625,1.9320019483566284
13,0.9765625,0.07744541019201279,0.5078125,2.3234806060791016
14,0.966796875,0.0841263011097908,0.578125,1.9284584522247314
15,0.953125,0.12282736599445343,0.53125,2.0167150497436523
16,0.974609375,0.06538467109203339,0.515625,2.6768739223480225
17,0.96484375,0.11387466639280319,0.453125,3.142169237136841
18,0.9609375,0.09344437718391418,0.53125,2.255445718765259
19,0.98046875,0.049447186291217804,0.5546875,2.3241631984710693
20,0.984375,0.06533347815275192,0.4609375,2.8982784748077393
21,0.98046875,0.059034042060375214,0.4765625,2.853250026702881
22,0.986328125,0.03753203898668289,0.5234375,2.7621283531188965
23,0.984375,0.032179251313209534,0.5234375,2.8435182571411133
