epoch,accuracy,loss,val_accuracy,val_loss
0,0.146484375,17.791460037231445,0.234375,2.009833812713623
1,0.322265625,1.8225741386413574,0.296875,1.8589104413986206
2,0.37109375,1.5574043989181519,0.3671875,1.8016347885131836
3,0.4921875,1.314173936843872,0.328125,1.7774595022201538
4,0.576171875,1.1331846714019775,0.390625,1.735894799232483
5,0.71875,0.7348344922065735,0.40625,1.8859279155731201
6,0.8046875,0.5119727253913879,0.3984375,2.518692970275879
7,0.75,0.6400604844093323,0.3828125,2.1529712677001953
8,0.8125,0.5203408598899841,0.4453125,1.7094820737838745
9,0.8671875,0.35592931509017944,0.46875,2.4831504821777344
10,0.912109375,0.29504188895225525,0.484375,2.086489200592041
11,0.9453125,0.16985878348350525,0.4609375,2.2969396114349365
12,0.9296875,0.3051839768886566,0.4765625,1.9644646644592285
13,0.95703125,0.13074280321598053,0.5390625,1.8240408897399902
14,0.96875,0.12130695581436157,0.5078125,2.6673102378845215
15,0.95703125,0.19425144791603088,0.484375,2.461695909500122
16,0.94921875,0.13183066248893738,0.4609375,2.743708848953247
17,0.962890625,0.13795249164104462,0.40625,2.919874906539917
18,0.94140625,0.2074892520904541,0.4765625,2.8892457485198975
19,0.96484375,0.15059655904769897,0.4453125,3.1081812381744385
20,0.96875,0.13154490292072296,0.4375,3.5540409088134766
21,0.982421875,0.07334178686141968,0.4765625,2.509751558303833
22,0.951171875,0.21540962159633636,0.4375,4.034929275512695
23,0.955078125,0.27571341395378113,0.46875,2.5103931427001953
24,0.9921875,0.053657613694667816,0.4453125,2.845529317855835
25,0.9921875,0.021964242681860924,0.4921875,3.1084115505218506
26,0.982421875,0.05791381746530533,0.4609375,2.947448492050171
27,0.982421875,0.07864952832460403,0.5078125,2.5103323459625244
28,0.95703125,0.14493049681186676,0.46875,3.409928560256958
