epoch,accuracy,loss,val_accuracy,val_loss
0,0.1171875,15.172298431396484,0.109375,4.589511394500732
1,0.19921875,3.3518614768981934,0.375,1.9025174379348755
2,0.330078125,1.980239987373352,0.3359375,1.888641357421875
3,0.380859375,1.742994785308838,0.3828125,1.8133960962295532
4,0.435546875,1.5923417806625366,0.4296875,1.7481802701950073
5,0.4296875,1.5817233324050903,0.484375,1.6510320901870728
6,0.494140625,1.4728546142578125,0.4375,1.6780180931091309
7,0.515625,1.436477780342102,0.4921875,1.563551425933838
8,0.529296875,1.3165843486785889,0.5234375,1.5071383714675903
9,0.583984375,1.2340741157531738,0.484375,1.4432600736618042
10,0.560546875,1.282358169555664,0.484375,1.469315528869629
11,0.591796875,1.1760220527648926,0.5,1.3784184455871582
12,0.650390625,1.0558621883392334,0.5078125,1.39697265625
13,0.642578125,1.0492323637008667,0.53125,1.3825125694274902
14,0.65625,0.9831939339637756,0.5234375,1.3891451358795166
15,0.685546875,0.9508585333824158,0.4921875,1.3757679462432861
16,0.681640625,0.9195730686187744,0.515625,1.3235843181610107
17,0.673828125,0.8833819031715393,0.53125,1.3286497592926025
18,0.70703125,0.8622766733169556,0.5546875,1.2970836162567139
19,0.7421875,0.8193091750144958,0.546875,1.3790711164474487
20,0.72265625,0.811515212059021,0.5390625,1.3753089904785156
21,0.72265625,0.8105112910270691,0.5078125,1.3650528192520142
22,0.7421875,0.7137292623519897,0.546875,1.2940863370895386
23,0.7734375,0.6906800866127014,0.5390625,1.2764674425125122
24,0.794921875,0.6428371071815491,0.5703125,1.2410509586334229
25,0.791015625,0.6214104890823364,0.5390625,1.2703258991241455
26,0.80078125,0.6452912092208862,0.5625,1.2345683574676514
27,0.83984375,0.5539135932922363,0.546875,1.3037681579589844
28,0.8203125,0.5770331025123596,0.4921875,1.3425285816192627
29,0.82421875,0.5819187164306641,0.5390625,1.4479016065597534
30,0.84765625,0.5247318744659424,0.4765625,1.3876020908355713
31,0.80859375,0.5672563314437866,0.5234375,1.2852730751037598
32,0.83984375,0.5375926494598389,0.59375,1.2099971771240234
33,0.865234375,0.46365657448768616,0.5234375,1.239342212677002
34,0.861328125,0.4586851894855499,0.5625,1.1934611797332764
35,0.87890625,0.41639816761016846,0.5390625,1.3161312341690063
36,0.849609375,0.4465615451335907,0.5859375,1.1812255382537842
37,0.892578125,0.4027954041957855,0.578125,1.16354501247406
38,0.896484375,0.3493923544883728,0.578125,1.230910062789917
39,0.927734375,0.3054339587688446,0.6015625,1.174391269683838
40,0.916015625,0.30878305435180664,0.5703125,1.2802393436431885
41,0.9140625,0.3223068118095398,0.5234375,1.2484455108642578
42,0.8984375,0.3374396562576294,0.5546875,1.233187198638916
43,0.91796875,0.2805611491203308,0.5625,1.3025299310684204
44,0.912109375,0.318315327167511,0.5859375,1.2616913318634033
45,0.908203125,0.32226866483688354,0.59375,1.352257490158081
46,0.923828125,0.27583903074264526,0.609375,1.23856782913208
47,0.896484375,0.29628315567970276,0.5625,1.36967134475708
48,0.91796875,0.28223928809165955,0.5625,1.290440320968628
49,0.91796875,0.26781606674194336,0.546875,1.4248473644256592
50,0.947265625,0.22957926988601685,0.578125,1.4176974296569824
51,0.939453125,0.22986339032649994,0.609375,1.240465521812439
52,0.927734375,0.25191518664360046,0.5234375,1.5442111492156982
53,0.9375,0.22931687533855438,0.578125,1.2572615146636963
54,0.943359375,0.19672773778438568,0.5859375,1.3808250427246094
55,0.951171875,0.19758860766887665,0.53125,1.5494617223739624
56,0.94140625,0.21746152639389038,0.578125,1.3680428266525269
57,0.96875,0.16122497618198395,0.5546875,1.4125056266784668
